Age,WorkClass,Weight,Education,EducationNumber,Occupation,Relationship,MarriageStatus,PartnerStatus,Race,Sex,CapitalGain,CapitalLoss,HoursPerWeek,Native Country,Salary
49,Self Employed,191681,Undergraduate,10,Exec-managerial, Husband, Married,Civil, White, Male,0,0,50,United-States, >50K
25,No Information,200681,Undergraduate,10,Unknown, Own-child, Never,No Information, White, Male,0,0,40,United-States, <=50K
19,Private,101509,Undergraduate,10,Prof-specialty, Own-child, Never,No Information, White, Male,0,0,32,United-States, <=50K
31,Private,309974,Undergraduate,13,Sales, Own-child, Separated,No Information, Black, Female,0,0,40,United-States, <=50K
29,Self Employed,162298,Undergraduate,13,Sales, Husband, Married,Civil, White, Male,0,0,70,United-States, >50K
23,Private,211678,Undergraduate,10,Machine-op-inspct, Not-in-family, Never,No Information, White, Male,0,0,40,United-States, <=50K
79,Private,124744,Undergraduate,10,Prof-specialty, Other-relative, Married,Civil, White, Male,0,0,20,United-States, <=50K
27,Private,213921,High School,9,Other-service, Own-child, Never,No Information, White, Male,0,0,40,Mexico, <=50K
40,Private,32214,Associate,12,Adm-clerical, Husband, Married,Civil, White, Male,0,0,40,United-States, <=50K
67,No Information,212759,School,6,Unknown, Husband, Married,Civil, White, Male,0,0,2,United-States, <=50K
18,Private,309634,School,7,Other-service, Own-child, Never,No Information, White, Female,0,0,22,United-States, <=50K
31,Government,125927,School,4,Farming-fishing, Husband, Married,Civil, White, Male,0,0,40,United-States, <=50K
18,Private,446839,High School,9,Sales, Not-in-family, Never,No Information, White, Male,0,0,30,United-States, <=50K
52,Private,276515,Undergraduate,13,Other-service, Husband, Married,Civil, White, Male,0,0,40,Cuba, <=50K
46,Private,51618,High School,9,Other-service, Wife, Married,Civil, White, Female,0,0,40,United-States, <=50K
59,Private,159937,High School,9,Sales, Husband, Married,Civil, White, Male,0,0,48,United-States, <=50K
44,Private,343591,High School,9,Craft-repair, Not-in-family, Divorced,No Information, White, Female,14344,0,40,United-States, >50K
53,Private,346253,High School,9,Sales, Own-child, Divorced,No Information, White, Female,0,0,35,United-States, <=50K
49,Government,268234,High School,9,Protective-serv, Husband, Married,Civil, White, Male,0,0,40,United-States, >50K
33,Private,202051,Graduate,14,Prof-specialty, Husband, Married,Civil, White, Male,0,0,50,United-States, <=50K
30,Private,54334,School,5,Sales, Not-in-family, Never,No Information, White, Male,0,0,40,United-States, <=50K
43,Government,410867,Doctorate,16,Prof-specialty, Not-in-family, Never,No Information, White, Female,0,0,50,United-States, >50K
57,Private,249977,Associate,11,Prof-specialty, Husband, Married,Civil, White, Male,0,0,40,United-States, <=50K
37,Private,286730,Undergraduate,10,Craft-repair, Unmarried, Divorced,No Information, White, Female,0,0,40,United-States, <=50K
28,Private,212563,Undergraduate,10,Machine-op-inspct, Unmarried, Divorced,No Information, Black, Female,0,0,25,United-States, <=50K
30,Private,117747,High School,9,Sales, Wife, Married,Civil, Asian-Pac-Islander, Female,0,1573,35,Unknown, <=50K
34,Government,226296,Undergraduate,13,Protective-serv, Husband, Married,Civil, White, Male,0,0,40,United-States, >50K
29,Government,115585,Undergraduate,10,Handlers-cleaners, Not-in-family, Never,No Information, White, Male,0,0,50,United-States, <=50K
48,Self Employed,191277,Doctorate,16,Prof-specialty, Husband, Married,Civil, White, Male,0,1902,60,United-States, >50K
37,Private,202683,Undergraduate,10,Sales, Husband, Married,Civil, White, Male,0,0,48,United-States, >50K
48,Private,171095,Associate,12,Exec-managerial, Unmarried, Divorced,No Information, White, Female,0,0,40,England, <=50K
32,Government,249409,High School,9,Other-service, Own-child, Never,No Information, Black, Male,0,0,40,United-States, <=50K
76,Private,124191,Graduate,14,Exec-managerial, Husband, Married,Civil, White, Male,0,0,40,United-States, >50K
44,Private,198282,Undergraduate,13,Exec-managerial, Husband, Married,Civil, White, Male,15024,0,60,United-States, >50K
47,Self Employed,149116,Graduate,14,Prof-specialty, Not-in-family, Never,No Information, White, Female,0,0,50,United-States, <=50K
20,Private,188300,Undergraduate,10,Tech-support, Own-child, Never,No Information, White, Female,0,0,40,United-States, <=50K
29,Private,103432,High School,9,Craft-repair, Not-in-family, Never,No Information, White, Male,0,0,40,United-States, <=50K
32,Self Employed,317660,High School,9,Craft-repair, Husband, Married,Civil, White, Male,7688,0,40,United-States, >50K
17,No Information,304873,School,6,Unknown, Own-child, Never,No Information, White, Female,34095,0,32,United-States, <=50K
30,Private,194901,School,7,Handlers-cleaners, Own-child, Never,No Information, White, Male,0,0,40,United-States, <=50K
31,Government,189265,High School,9,Adm-clerical, Not-in-family, Never,No Information, White, Female,0,0,40,United-States, <=50K
42,Private,124692,High School,9,Handlers-cleaners, Husband, Married,Civil, White, Male,0,0,40,United-States, <=50K
24,Private,432376,Undergraduate,13,Sales, Other-relative, Never,No Information, White, Male,0,0,40,United-States, <=50K
38,Private,65324,Professional School,15,Prof-specialty, Husband, Married,Civil, White, Male,0,0,40,United-States, >50K
56,Self Employed,335605,High School,9,Other-service, Husband, Married,Civil, White, Male,0,1887,50,Canada, >50K
28,Private,377869,Undergraduate,10,Sales, Wife, Married,Civil, White, Female,4064,0,25,United-States, <=50K
36,Private,102864,High School,9,Machine-op-inspct, Own-child, Never,No Information, White, Female,0,0,40,United-States, <=50K
53,Private,95647,School,5,Handlers-cleaners, Husband, Married,Civil, White, Male,0,0,50,United-States, <=50K
56,Self Employed,303090,Undergraduate,10,Sales, Husband, Married,Civil, White, Male,0,0,50,United-States, <=50K
49,Government,197371,Associate,11,Craft-repair, Husband, Married,Civil, Black, Male,0,0,40,United-States, >50K
55,Private,247552,Undergraduate,10,Sales, Husband, Married,Civil, White, Male,0,0,56,United-States, <=50K
22,Private,102632,High School,9,Craft-repair, Not-in-family, Never,No Information, White, Male,0,0,41,United-States, <=50K
21,Private,199915,Undergraduate,10,Other-service, Own-child, Never,No Information, White, Female,0,0,40,United-States, <=50K
40,Private,118853,Undergraduate,13,Exec-managerial, Husband, Married,Civil, White, Male,0,0,60,United-States, <=50K
30,Private,77143,Undergraduate,13,Exec-managerial, Own-child, Never,No Information, Black, Male,0,0,40,Germany, <=50K
29,Government,267989,Undergraduate,13,Prof-specialty, Husband, Married,Civil, White, Male,0,0,50,United-States, >50K
19,Private,301606,Undergraduate,10,Other-service, Own-child, Never,No Information, Black, Male,0,0,35,United-States, <=50K
47,Private,287828,Undergraduate,13,Exec-managerial, Wife, Married,Civil, White, Female,0,0,40,United-States, >50K
20,Private,111697,Undergraduate,10,Adm-clerical, Own-child, Never,No Information, White, Female,0,1719,28,United-States, <=50K
31,Private,114937,Associate,12,Adm-clerical, Husband, Married,Civil, White, Male,0,0,40,United-States, >50K
35,No Information,129305,High School,9,Unknown, Husband, Married,Civil, White, Male,0,0,40,United-States, <=50K
39,Private,365739,Undergraduate,10,Craft-repair, Not-in-family, Divorced,No Information, White, Male,0,0,40,United-States, <=50K
28,Private,69621,Associate,12,Sales, Not-in-family, Never,No Information, White, Female,0,0,60,United-States, <=50K
24,Private,43323,High School,9,Other-service, Not-in-family, Never,No Information, White, Female,0,1762,40,United-States, <=50K
38,Self Employed,120985,High School,9,Craft-repair, Husband, Married,Civil, White, Male,4386,0,35,United-States, <=50K
37,Private,254202,Undergraduate,13,Sales, Husband, Married,Civil, White, Male,0,0,50,United-States, <=50K
46,Private,146195,Associate,12,Tech-support, Not-in-family, Divorced,No Information, Black, Female,0,0,36,United-States, <=50K
38,Government,125933,Graduate,14,Prof-specialty, Husband, Married,Civil, White, Male,0,0,40,Iran, >50K
43,Self Employed,56920,High School,9,Craft-repair, Husband, Married,Civil, White, Male,0,0,60,United-States, <=50K
27,Private,163127,Associate,11,Adm-clerical, Wife, Married,Civil, White, Female,0,0,35,United-States, <=50K
20,Private,34310,Undergraduate,10,Sales, Own-child, Never,No Information, White, Male,0,0,20,United-States, <=50K
49,Private,81973,Undergraduate,10,Craft-repair, Husband, Married,Civil, Asian-Pac-Islander, Male,0,0,40,United-States, >50K
61,Self Employed,66614,High School,9,Craft-repair, Husband, Married,Civil, White, Male,0,0,40,United-States, <=50K
27,Private,232782,Undergraduate,10,Sales, Own-child, Never,No Information, White, Female,0,0,40,United-States, <=50K
19,Private,316868,Undergraduate,10,Other-service, Own-child, Never,No Information, White, Male,0,0,30,Mexico, <=50K
45,Private,196584,Associate,11,Prof-specialty, Not-in-family, Never,No Information, White, Female,0,1564,40,United-States, >50K
70,Private,105376,Undergraduate,10,Tech-support, Other-relative, Never,No Information, White, Male,0,0,40,United-States, <=50K
31,Private,185814,High School,9,Transport-moving, Unmarried, Never,No Information, Black, Female,0,0,30,United-States, <=50K
22,Private,175374,Undergraduate,10,Other-service, Husband, Married,Civil, White, Male,0,0,24,United-States, <=50K
36,Private,108293,High School,9,Other-service, Unmarried, Widowed,No Information, White, Female,0,0,24,United-States, <=50K
64,Private,181232,School,7,Craft-repair, Husband, Married,Civil, White, Male,0,2179,40,United-States, <=50K
43,No Information,174662,Undergraduate,10,Unknown, Not-in-family, Divorced,No Information, White, Female,0,0,40,United-States, <=50K
47,Government,186009,Undergraduate,10,Adm-clerical, Unmarried, Divorced,No Information, White, Female,0,0,38,Mexico, <=50K
34,Private,198183,High School,9,Adm-clerical, Not-in-family, Never,No Information, White, Female,0,0,40,United-States, <=50K
33,Private,163003,Undergraduate,13,Exec-managerial, Other-relative, Never,No Information, Asian-Pac-Islander, Female,0,0,40,Philippines, <=50K
21,Private,296158,High School,9,Craft-repair, Own-child, Never,No Information, White, Male,0,0,35,United-States, <=50K
52,No Information,252903,High School,9,Unknown, Not-in-family, Divorced,No Information, White, Male,0,0,45,United-States, >50K
48,Private,187715,High School,9,Craft-repair, Husband, Married,Civil, White, Male,0,0,46,United-States, <=50K
23,Private,214542,Undergraduate,13,Handlers-cleaners, Not-in-family, Never,No Information, White, Male,0,0,40,United-States, <=50K
71,Self Employed,494223,Undergraduate,10,Sales, Unmarried, Separated,No Information, Black, Male,0,1816,2,United-States, <=50K
29,Private,191535,High School,9,Craft-repair, Not-in-family, Divorced,No Information, White, Male,0,0,60,United-States, <=50K
42,Private,228456,Undergraduate,13,Other-service, Other-relative, Separated,No Information, Black, Male,0,0,50,United-States, <=50K
68,No Information,38317,School,2,Unknown, Not-in-family, Divorced,No Information, White, Female,0,0,20,United-States, <=50K
25,Private,252752,High School,9,Other-service, Unmarried, Never,No Information, White, Female,0,0,40,United-States, <=50K
44,Self Employed,78374,Graduate,14,Exec-managerial, Unmarried, Divorced,No Information, Asian-Pac-Islander, Female,0,0,40,United-States, <=50K
28,Private,88419,High School,9,Exec-managerial, Not-in-family, Never,No Information, Asian-Pac-Islander, Female,0,0,40,England, <=50K
45,Self Employed,201080,Graduate,14,Sales, Husband, Married,Civil, White, Male,0,0,40,United-States, >50K
36,Private,207157,Undergraduate,10,Other-service, Unmarried, Divorced,No Information, White, Female,0,0,40,Mexico, <=50K
39,Government,235485,Associate,12,Exec-managerial, Not-in-family, Never,No Information, White, Male,0,0,42,United-States, <=50K
46,Government,102628,Graduate,14,Protective-serv, Unmarried, Widowed,No Information, White, Male,0,0,40,United-States, <=50K
18,Private,25828,School,7,Handlers-cleaners, Own-child, Never,No Information, White, Male,0,0,16,United-States, <=50K
66,Government,54826,Associate,11,Prof-specialty, Not-in-family, Widowed,No Information, White, Female,0,0,20,United-States, <=50K
27,Private,124953,High School,9,Other-service, Not-in-family, Never,No Information, White, Male,0,1980,40,United-States, <=50K
28,Government,175325,High School,9,Protective-serv, Husband, Married,Civil, White, Male,0,0,40,United-States, <=50K
51,Private,96062,Undergraduate,10,Sales, Husband, Married,Civil, White, Male,0,1977,40,United-States, >50K
27,Private,428030,Undergraduate,13,Craft-repair, Not-in-family, Never,No Information, White, Male,0,0,50,United-States, <=50K
28,Government,149624,Undergraduate,13,Prof-specialty, Husband, Married,Civil, White, Male,0,0,40,United-States, >50K
27,Private,253814,High School,9,Sales, Unmarried, Married,Absent, White, Female,0,0,25,United-States, <=50K
21,Private,312956,High School,9,Craft-repair, Own-child, Never,No Information, Black, Male,0,0,40,United-States, <=50K
34,Private,483777,High School,9,Handlers-cleaners, Not-in-family, Never,No Information, Black, Male,0,0,40,United-States, <=50K
18,Private,183930,High School,9,Other-service, Own-child, Never,No Information, White, Male,0,0,12,United-States, <=50K
33,Private,37274,Undergraduate,13,Prof-specialty, Husband, Married,Civil, White, Male,0,0,65,United-States, <=50K
44,Government,181344,Undergraduate,10,Exec-managerial, Husband, Married,Civil, Black, Male,0,0,38,United-States, >50K
43,Private,114580,Undergraduate,10,Adm-clerical, Not-in-family, Divorced,No Information, White, Female,0,0,40,United-States, <=50K
30,Private,633742,Undergraduate,10,Craft-repair, Not-in-family, Never,No Information, Black, Male,0,0,45,United-States, <=50K
40,Private,286370,School,4,Machine-op-inspct, Husband, Married,Civil, White, Male,0,0,40,Mexico, >50K
37,Government,29054,Undergraduate,10,Adm-clerical, Husband, Married,Civil, White, Male,0,0,42,United-States, >50K
34,Private,304030,High School,9,Adm-clerical, Husband, Married,Civil, Black, Male,0,0,40,United-States, <=50K
41,Self Employed,143129,Undergraduate,13,Exec-managerial, Not-in-family, Divorced,No Information, White, Female,0,0,40,United-States, <=50K
53,No Information,135105,Undergraduate,13,Unknown, Not-in-family, Divorced,No Information, White, Female,0,0,50,United-States, <=50K
31,Private,99928,Graduate,14,Prof-specialty, Wife, Married,Civil, White, Female,0,0,50,United-States, <=50K
58,Government,109567,Doctorate,16,Prof-specialty, Husband, Married,Civil, White, Male,0,0,1,United-States, >50K
38,Private,155222,Undergraduate,10,Machine-op-inspct, Not-in-family, Divorced,No Information, Black, Female,0,0,28,United-States, <=50K
24,Private,159567,Undergraduate,10,Machine-op-inspct, Husband, Married,Civil, White, Male,0,0,40,United-States, <=50K
41,Government,523910,Undergraduate,13,Craft-repair, Husband, Married,Civil, Black, Male,0,0,40,United-States, <=50K
47,Private,120939,Undergraduate,10,Tech-support, Husband, Married,Civil, White, Male,0,0,45,United-States, <=50K
41,Government,130760,Undergraduate,13,Tech-support, Husband, Married,Civil, White, Male,0,0,24,United-States, <=50K
23,Private,197387,School,3,Transport-moving, Other-relative, Married,Civil, White, Male,0,0,40,Mexico, <=50K
36,Private,99374,Undergraduate,10,Craft-repair, Not-in-family, Divorced,No Information, White, Male,0,0,40,United-States, <=50K
40,Government,56795,Graduate,14,Exec-managerial, Not-in-family, Never,No Information, White, Female,14084,0,55,United-States, >50K
35,Private,138992,Graduate,14,Prof-specialty, Other-relative, Married,Civil, White, Male,7298,0,40,United-States, >50K
24,Self Employed,32921,High School,9,Sales, Not-in-family, Never,No Information, White, Male,0,0,40,United-States, <=50K
26,Private,397317,Graduate,14,Prof-specialty, Not-in-family, Never,No Information, White, Female,0,1876,40,United-States, <=50K
19,No Information,170653,High School,9,Unknown, Own-child, Never,No Information, White, Male,0,0,40,Italy, <=50K
51,Private,259323,Undergraduate,13,Exec-managerial, Husband, Married,Civil, White, Male,0,0,50,United-States, >50K
42,Government,254817,Undergraduate,10,Prof-specialty, Not-in-family, Never,No Information, White, Female,0,1340,40,United-States, <=50K
37,Government,48211,High School,9,Adm-clerical, Unmarried, Divorced,No Information, White, Female,0,0,35,United-States, <=50K
18,Private,140164,School,7,Sales, Own-child, Never,No Information, White, Female,0,0,40,United-States, <=50K
36,Private,128757,Undergraduate,13,Other-service, Husband, Married,Civil, Black, Male,7298,0,36,United-States, >50K
35,Private,36270,High School,9,Craft-repair, Not-in-family, Divorced,No Information, White, Male,0,0,60,United-States, <=50K
58,Self Employed,210563,High School,9,Sales, Wife, Married,Civil, White, Female,15024,0,35,United-States, >50K
17,Private,65368,School,7,Sales, Own-child, Never,No Information, White, Female,0,0,12,United-States, <=50K
44,Government,160943,High School,9,Transport-moving, Husband, Married,Civil, Black, Male,0,0,40,United-States, <=50K
37,Private,208358,High School,9,Craft-repair, Husband, Married,Civil, White, Male,0,0,40,United-States, >50K
35,Private,153790,Undergraduate,10,Sales, Not-in-family, Never,No Information, Amer-Indian-Eskimo, Female,0,0,40,United-States, <=50K
60,Private,85815,High School,9,Craft-repair, Husband, Married,Civil, Asian-Pac-Islander, Male,0,0,40,United-States, <=50K
54,Self Employed,125417,School,4,Machine-op-inspct, Husband, Married,Civil, White, Male,0,0,40,United-States, >50K
37,Private,635913,Undergraduate,13,Exec-managerial, Not-in-family, Never,No Information, Black, Male,0,0,60,United-States, >50K
50,Private,313321,Associate,12,Sales, Not-in-family, Divorced,No Information, White, Female,0,0,40,United-States, <=50K
38,Private,182609,Undergraduate,13,Sales, Husband, Married,Civil, White, Male,0,0,50,Poland, <=50K
45,Private,109434,Undergraduate,13,Prof-specialty, Husband, Married,Civil, White, Male,0,0,55,United-States, <=50K
25,Private,255004,School,6,Craft-repair, Not-in-family, Never,No Information, White, Male,0,0,40,United-States, <=50K
31,Private,197860,Undergraduate,10,Handlers-cleaners, Husband, Married,Civil, White, Male,0,0,40,United-States, <=50K
64,No Information,187656,School,2,Unknown, Not-in-family, Divorced,No Information, White, Male,0,0,40,United-States, <=50K
90,Private,51744,High School,9,Other-service, Not-in-family, Never,No Information, Black, Male,0,2206,40,United-States, <=50K
54,Private,176681,High School,9,Adm-clerical, Husband, Married,Civil, Black, Male,0,0,20,United-States, <=50K
53,Government,140359,School,1,Machine-op-inspct, Not-in-family, Never,No Information, White, Female,0,0,35,United-States, <=50K
18,Private,243313,High School,9,Sales, Own-child, Never,No Information, White, Female,0,0,40,United-States, <=50K
60,No Information,24215,School,6,Unknown, Not-in-family, Divorced,No Information, Amer-Indian-Eskimo, Female,0,0,10,United-States, <=50K
66,Self Employed,167687,High School,9,Farming-fishing, Husband, Married,Civil, White, Male,1409,0,50,United-States, <=50K
75,Private,314209,Associate,11,Adm-clerical, Not-in-family, Widowed,No Information, White, Female,0,0,20,Columbia, <=50K
65,Private,176796,High School,9,Adm-clerical, Not-in-family, Divorced,No Information, White, Female,0,0,40,United-States, <=50K
35,Private,538583,School,7,Transport-moving, Not-in-family, Separated,No Information, Black, Male,3674,0,40,United-States, <=50K
41,Private,130408,High School,9,Sales, Unmarried, Divorced,No Information, Black, Female,0,0,38,United-States, <=50K
25,Private,159732,Undergraduate,10,Adm-clerical, Not-in-family, Never,No Information, White, Male,0,0,42,United-States, <=50K
33,Private,110978,Undergraduate,10,Craft-repair, Other-relative, Divorced,No Information, Other, Female,0,0,40,United-States, <=50K
28,Private,76714,Professional School,15,Prof-specialty, Not-in-family, Never,No Information, White, Male,0,0,55,United-States, >50K
59,Government,268700,High School,9,Other-service, Husband, Married,Civil, White, Male,0,0,40,United-States, <=50K
40,Government,170525,Undergraduate,10,Adm-clerical, Not-in-family, Never,No Information, White, Female,0,0,38,United-States, <=50K
41,Private,180138,Undergraduate,13,Exec-managerial, Husband, Married,Civil, White, Male,0,0,50,Iran, >50K
38,Government,115076,Graduate,14,Exec-managerial, Husband, Married,Civil, White, Male,0,0,70,United-States, >50K
23,Private,115458,High School,9,Transport-moving, Own-child, Never,No Information, White, Male,0,0,40,United-States, <=50K
40,Private,347890,Undergraduate,13,Prof-specialty, Husband, Married,Civil, White, Male,0,0,40,United-States, >50K
41,Self Employed,196001,High School,9,Other-service, Wife, Married,Civil, White, Female,0,0,20,United-States, <=50K
24,Government,273905,Associate,12,Protective-serv, Husband, Married,Civil, White, Male,0,0,50,United-States, <=50K
20,No Information,119156,Undergraduate,10,Unknown, Own-child, Never,No Information, White, Male,0,0,20,United-States, <=50K
38,Private,179488,Undergraduate,10,Craft-repair, Not-in-family, Divorced,No Information, White, Male,0,1741,40,United-States, <=50K
56,Private,203580,High School,9,Adm-clerical, Husband, Married,Civil, White, Male,0,0,35,Unknown, <=50K
58,Private,236596,High School,9,Adm-clerical, Husband, Married,Civil, White, Male,0,0,45,United-States, >50K
32,Private,183916,High School,9,Other-service, Not-in-family, Never,No Information, White, Female,0,0,34,United-States, <=50K
40,Private,207578,Associate,12,Tech-support, Husband, Married,Civil, White, Male,0,1977,60,United-States, >50K
45,Private,153141,High School,9,Adm-clerical, Husband, Married,Civil, White, Male,0,0,40,Unknown, <=50K
41,Private,112763,Professional School,15,Prof-specialty, Wife, Married,Civil, White, Female,0,0,40,United-States, >50K
